name,region,electricity,agland,co2,methane,ghg
Comoros,Sub-Saharan Africa,63.12582016,71.46695325,161.348,278.231,543.6221852
"Congo, Rep.",Sub-Saharan Africa,42.51591492,30.96925329,1980.18,7015.87,35247.16491
Costa Rica,Latin America & Caribbean,98.995734,35.62475519,7568.688,2269.13,11684.5675
Cote d'Ivoire,Sub-Saharan Africa,57.96392822,64.77987421,6967.3,15946.7,32525.25335
Croatia,Europe & Central Asia,100,23.83488206,20172.167,5035.01,31172.6453
Cuba,Latin America & Caribbean,99.96389771,60.70274333,38375.155,8392.08,49782.5314
Czech Republic,Europe & Central Asia,100,54.81615743,111579.476,12033.4,145706.917
Denmark,Europe & Central Asia,100,61.89017205,46640.573,7763,63679.08978
Djibouti,Middle East & North Africa,53.30377197,73.40811044,517.047,621.61,2629.832574
Dominica,Latin America & Caribbean,94.84715271,33.33333333,139.346,39.8197,211.3141846
Dominican Republic,Latin America & Caribbean,98.145414,49.61705651,21022.911,6726.43,31668.70772
Ecuador,Latin America & Caribbean,97.462142,30.18883878,36460.981,15476.8,50320.69803
"Egypt, Arab Rep.",Middle East & North Africa,99.64969635,3.687779396,202715.427,50957.6,280255.5766
El Salvador,Latin America & Caribbean,91.580238,74.08301158,6457.587,2972.67,11978.85339
Equatorial Guinea,Sub-Saharan Africa,65.45861816,10.48128342,4679.092,2901.46,6099.113908
Eritrea,Sub-Saharan Africa,39.74018097,75.16831683,513.38,2837,4844.785693
Estonia,Europe & Central Asia,100,22.38263741,18107.646,2321.56,22767.1259
Eswatini,Sub-Saharan Africa,45.55233761,71.04651163,1037.761,1350.02,3378.339014
Ethiopia,Sub-Saharan Africa,25.0334053,35.683,6585.932,63216.7,182771.1979
Fiji,East Asia & Pacific,89.54928589,23.26217843,1221.111,700.595,2163.922287
Finland,Europe & Central Asia,100,7.541625535,62082.31,8895.55,84371.53873
France,Europe & Central Asia,100,52.82792476,353033.091,83756.9,532133.0404
Gabon,Sub-Saharan Africa,84.92988586,20.02561416,4811.104,3817.58,34053.55242
"Gambia, The",Sub-Saharan Africa,40.19713593,60.77075099,432.706,1018.9,3481.573204
Georgia,Europe & Central Asia,99.49563599,35.68858829,6314.574,4862.59,13108.62377
Germany,Europe & Central Asia,100,47.91003242,758859.981,57229.7,948006.7542
Ghana,Sub-Saharan Africa,65.04080963,68.64727081,9955.905,20664.5,106432.6926
Greece,Europe & Central Asia,100,63.56865787,83856.956,8416.51,107505.9791
Grenada,Latin America & Caribbean,89.57085419,23.52941176,260.357,35.9581,682.6576921
Guatemala,Latin America & Caribbean,84.20420837,36.97349757,11664.727,6742.52,30327.54698
Guinea,Sub-Saharan Africa,25.81767082,58.19632102,2603.57,28091.9,100274.0399
Guinea-Bissau,Sub-Saharan Africa,6,57.9658606,238.355,1392.82,7536.357813
Guyana,Latin America & Caribbean,80.25813293,8.524257049,1719.823,2082.36,5937.294211
Haiti,Latin America & Caribbean,35.93851852,67.85195936,2126.86,4497.27,8545.167808
Honduras,Latin America & Caribbean,80.984668,28.86763786,7975.725,5729.65,19663.71562
"Hong Kong SAR, China",East Asia & Pacific,100,5.238095238,40678.031,3085.69,55049.40297
Hungary,Europe & Central Asia,100,59.01910969,50223.232,7282.64,66250.7743
Iceland,Europe & Central Asia,100,18.69326683,1961.845,383.189,5390.984736
India,South Asia,76.3,60.39741826,1719690.988,621480,2771456.756
Indonesia,East Asia & Pacific,94.15,30.69161004,428760.308,218937,744790.0241
Iraq,Middle East & North Africa,98.48660278,18.92613741,112195.532,23873.7,146903.7332
Ireland,Europe & Central Asia,100,66.30860793,40054.641,13895.8,65591.24598
Israel,Middle East & North Africa,100,23.31330869,68880.928,3348.67,79072.43566
Italy,Europe & Central Asia,100,48.71081798,405361.181,37547.9,489460.1327
Jamaica,Latin America & Caribbean,92.7145462,40.99722992,7297.33,1290.64,14581.6781
Japan,East Asia & Pacific,100,12.59909477,1171624.835,40262.2,1350427.913
Jordan,Middle East & North Africa,99.57345581,11.28970489,21180.592,2073.31,25590.04964
Kazakhstan,Europe & Central Asia,99.63712311,80.43923399,248549.26,67542.2,347356.0816
Kenya,Sub-Saharan Africa,19.2,48.00224901,12174.44,27477.2,52675.10235
"Korea, Dem. People’s Rep.",East Asia & Pacific,28.51937103,22.2572876,66453.374,18611.2,104116.6043
"Korea, Rep.",East Asia & Pacific,100,18.23511262,566716.515,31985,628838.7211
Kuwait,Middle East & North Africa,100,8.529741863,89625.147,12441.8,93785.56855
Kyrgyz Republic,Europe & Central Asia,99,55.32794578,6384.247,3968.38,13008.5431
Lao PDR,East Asia & Pacific,70.24311066,9.618717504,1639.149,14717,38034.96363
Latvia,Europe & Central Asia,100,29.00064267,8074.734,3227.46,14670.0039
Lesotho,Sub-Saharan Africa,18.93547249,76.61396574,2277.207,1261.45,3425.278898
Liberia,Sub-Saharan Africa,5.146131039,27.61627907,792.072,1554.59,2758.546871
Libya,Middle East & North Africa,98.55153656,8.724439342,61961.299,18132.3,77780.08973
Lithuania,Europe & Central Asia,100,44.23294775,13468.891,5052.3,26786.483
Luxembourg,Europe & Central Asia,100,50.59459459,10967.997,1235.76,13034.81576
"Macedonia, FYR",Europe & Central Asia,99.65153503,44.36954798,8602.782,1368.33,12257.54353
Madagascar,Sub-Saharan Africa,16.90373993,71.18169,1958.178,19676.2,117231.0406
Malawi,Sub-Saharan Africa,8.7,60.29910904,1144.104,4538.53,21415.53718
Malaysia,East Asia & Pacific,99.28923035,22.7240907,218476.193,33598.7,263676.106
Mali,Sub-Saharan Africa,25.39828682,33.64312115,964.421,17687.8,76827.88145
Mauritania,Sub-Saharan Africa,32.65188217,38.52818473,2236.87,5962.34,12951.00656
Mexico,Latin America & Caribbean,99.236696,54.89081509,464308.206,115869,643375.4336
Moldova,Europe & Central Asia,99.9860611,75.03805175,4932.115,3415.09,11338.70777
Mongolia,East Asia & Pacific,78.50208044,73.1146528,13820.923,6134.42,24860.37811
Morocco,Middle East & North Africa,90.81171417,67.19314363,55958.42,11776.9,76087.37885
Mozambique,Sub-Saharan Africa,17.257923130000002,63.51890943,2735.582,9772.32,379823.5504
Myanmar,East Asia & Pacific,48.8,19.17460123,12515.471,79055.4,325367.1391
Namibia,Sub-Saharan Africa,45.37103653,47.13891824,3102.282,4997.54,37647.5718
Nepal,South Asia,66.9937439,28.78269969,5056.793,23512,32738.69186
Netherlands,Europe & Central Asia,100,55.50844945,183052.973,20288.2,212418.455
New Zealand,East Asia & Pacific,100,43.32535794,31781.889,28132.9,76141.65783
Nicaragua,Latin America & Caribbean,78.05745697,41.76499917,4536.079,6364.58,15794.34981
Niger,Sub-Saharan Africa,12.71824646,34.72171785,1173.44,6723.25,11219.50511
Nigeria,Sub-Saharan Africa,48,76.85804319,91517.319,88021.5,292211.7354
Norway,Europe & Central Asia,100,2.754041808,60105.797,17148,65710.06421
Oman,Middle East & North Africa,100,4.757996769,47417.977,16527.1,59041.97958
Pakistan,South Asia,89.81377411,45.71658364,161395.671,155232,354528.6222
Panama,Latin America & Caribbean,86.85,30.48681733,9163.833,3311.55,15428.76051
Papua New Guinea,East Asia & Pacific,19.5,2.627743674,4763.433,2100.85,10667.59649
Paraguay,Latin America & Caribbean,97.43086,53.43569091,5097.13,15927.2,50027.503
Peru,Latin America & Caribbean,88.123061,18.76796875,57593.902,18942.6,71614.29402
Philippines,East Asia & Pacific,84.03495026,40.58087668,84869.048,56048.8,159940.4528
Poland,Europe & Central Asia,100,47.17578686,316264.082,65475.1,426485.8684
Portugal,Europe & Central Asia,100,39.89704116,48136.709,12599,71681.46844
Qatar,Middle East & North Africa,100,5.6416882,72507.591,40317.7,98391.53385
Russian Federation,Europe & Central Asia,100,13.06427907,1670531.186,533546,2603289.63
Rwanda,Sub-Saharan Africa,9.7,73.12201054,590.387,2883.92,6547.474913
Samoa,East Asia & Pacific,96.60601044,12.36749117,187.017,130.272,340.9776821
Sao Tome and Principe,Sub-Saharan Africa,59.92104721,50.52083333,99.009,45.2873,185.4516318
Senegal,Sub-Saharan Africa,54.15758896,49.12481172,7744.704,9732.99,53407.57105
Seychelles,Sub-Saharan Africa,97,5.217391304,443.707,23.6724,854.0721844
Sierra Leone,Sub-Saharan Africa,11.46217307,54.45247991,726.066,3286.31,11647.49051
Singapore,East Asia & Pacific,100,1.054131054,55643.058,2339.02,52731.99882
Slovak Republic,Europe & Central Asia,100,40.43791978,36240.961,3984.68,49973.282
Slovenia,Europe & Central Asia,100,30.97616683,15335.394,2901.13,21893.6609
Solomon Islands,East Asia & Pacific,32.03585815,3.822793855,198.018,1420.74,4479.829996
Somalia,Sub-Saharan Africa,20.36541748,70.34144164,612.389,15888.1,21461.80546
Spain,Europe & Central Asia,100,55.08889822,270910.626,36823.6,354618.0226
Sri Lanka,South Asia,85.3,41.77962048,13263.539,11630.9,29131.29052
St. Lucia,Latin America & Caribbean,94.2,17.37704918,403.37,42.8591,563.9158825
St. Vincent and the Grenadines,Latin America & Caribbean,93.22228241,25.64102564,220.02,39.0831,301.5628538
Sudan,Sub-Saharan Africa,35.47529984,42.0956229,15940.449,94638.7,487562.7337
Sweden,Europe & Central Asia,100,7.518155676,52023.729,10817.5,71434.70981
Switzerland,Europe & Central Asia,100,38.83490232,38994.878,4992.3,57154.18273
Syrian Arab Republic,Middle East & North Africa,92.7,75.73925829,61605.6,12532.2,73021.03502
Tajikistan,Europe & Central Asia,99.46128082,33.978994,2544.898,4942.78,14727.20554
Tanzania,Sub-Saharan Africa,14.8,42.27816663,7106.646,27445,234147.1609
Thailand,East Asia & Pacific,99.7,41.2221809,281926.294,104411,421227.831
Togo,Sub-Saharan Africa,30.79174368,67.38371024,2640.24,5237.91,22578.11968
Tonga,East Asia & Pacific,92.26165009,44.44444444,117.344,60.2443,151.934446
Trinidad and Tobago,Latin America & Caribbean,99.29836273,10.52631579,47935.024,14498.6,58068.7624
Tunisia,Middle East & North Africa,99.5,64.61122554,27660.181,7497.24,37649.97347
Turkey,Europe & Central Asia,100,50.68929226,298002.422,77306.8,422721.8742
Turkmenistan,Europe & Central Asia,100,72.35120124,57289.541,26545.9,87379.66852
Tuvalu,East Asia & Pacific,97.12786102,60,7.334,3.29957,5.109678415
Uganda,Sub-Saharan Africa,14.76937103,71.14003591,3920.023,20745.9,79906.21027
Ukraine,Europe & Central Asia,99.94507599,71.23351516,304643.359,68387.6,393092.0594
United Arab Emirates,Middle East & North Africa,100,4.752392344,160812.618,25607.4,193127.1576
United Kingdom,Europe & Central Asia,100,71.19414707,493207.833,61177.1,609586.561
United States,North America,100,44.64933282,5395532.125,524709,6713348.969
Uruguay,Latin America & Caribbean,98.98948669,82.46486116,6387.914,19165.3,33285.19663
Uzbekistan,Europe & Central Asia,99.98669434,62.69393512,104168.469,46861.7,172722.6657
Vanuatu,East Asia & Pacific,36.89836502,15.34044299,121.011,249.176,433.7658416
"Venezuela, RB",Latin America & Caribbean,98.80784607,24.48840769,189070.52,57057.7,268746.1951
Vietnam,East Asia & Pacific,97.59113312,34.70216403,142737.975,111337,278994.36
"Yemen, Rep.",Middle East & North Africa,63.13428116,44.65973445,23432.13,8764.63,38865.29243
Zambia,Sub-Saharan Africa,22,31.52584781,2691.578,6422.92,319784.6304
Zimbabwe,Sub-Saharan Africa,36.063056950000004,41.87669639,7777.707,8420.5,71019.11673
